# (0) Surf. Charge, (1) Surf. Pot., (2-3) Eta Poly., (4-7) Excess Adsorption, (8) Helmholtz, (9) Grand Potential, (10) Osmotic pressure, (11) Surface Tension, (12-15) Bulk Density, (16-19) Chemical Potential, (20) s, (21) turnCount
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 1.88993e-04 1.88993e-04 6.47445e-06 6.47445e-06 -8.69739262e+01 -6.01168204e+01 1.20233633e+00 -3.74869947e-06 1.00000000e-05 1.00000000e-05 1.00000000e-01 1.00000000e-01 2.24206393e-02 2.24206393e-02 -2.68571019e+00 -2.68571019e+00 0.00000000e+00 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 1.93455e-04 1.93455e-04 6.62643e-06 6.62643e-06 -8.69739263e+01 -6.01168198e+01 1.20233632e+00 -3.83650906e-06 1.02329299e-05 1.02329299e-05 1.00000000e-01 1.00000000e-01 2.26503572e-02 2.26503572e-02 -2.68571028e+00 -2.68571028e+00 1.00000000e-02 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 1.98026e-04 1.98026e-04 6.78210e-06 6.78210e-06 -8.69739264e+01 -6.01168192e+01 1.20233631e+00 -3.92638745e-06 1.04712855e-05 1.04712855e-05 1.00000000e-01 1.00000000e-01 2.28800624e-02 2.28800624e-02 -2.68571037e+00 -2.68571037e+00 2.00000000e-02 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 2.02703e-04 2.02703e-04 6.94136e-06 6.94137e-06 -8.69739264e+01 -6.01168186e+01 1.20233629e+00 -4.01838395e-06 1.07151931e-05 1.07151931e-05 1.00000000e-01 1.00000000e-01 2.31097548e-02 2.31097548e-02 -2.68571047e+00 -2.68571047e+00 3.00000000e-02 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 2.07496e-04 2.07496e-04 7.10447e-06 7.10447e-06 -8.69739265e+01 -6.01168179e+01 1.20233628e+00 -4.11254910e-06 1.09647820e-05 1.09647820e-05 1.00000000e-01 1.00000000e-01 2.33394340e-02 2.33394340e-02 -2.68571057e+00 -2.68571057e+00 4.00000000e-02 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 2.32942e-04 2.32942e-04 7.96985e-06 7.96984e-06 -8.69739268e+01 -6.01168145e+01 1.20233620e+00 -4.61208263e-06 1.22876626e-05 1.22876626e-05 1.00000000e-01 1.00000000e-01 2.44754358e-02 2.44754358e-02 -2.68571109e+00 -2.68571109e+00 9.00000000e-02 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 2.61530e-04 2.61530e-04 8.94050e-06 8.94050e-06 -8.69739268e+01 -6.01168107e+01 1.20233611e+00 -5.17200666e-06 1.37681595e-05 1.37681595e-05 1.00000000e-01 1.00000000e-01 2.56096289e-02 2.56096289e-02 -2.68571168e+00 -2.68571168e+00 1.40000000e-01 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 2.93651e-04 2.93651e-04 1.00292e-05 1.00292e-05 -8.69739267e+01 -6.01168064e+01 1.20233601e+00 -5.79953596e-06 1.54245061e-05 1.54245061e-05 1.00000000e-01 1.00000000e-01 2.67417740e-02 2.67417740e-02 -2.68571234e+00 -2.68571234e+00 1.90000000e-01 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 3.29748e-04 3.29748e-04 1.12502e-05 1.12502e-05 -8.69739262e+01 -6.01168016e+01 1.20233590e+00 -6.50274191e-06 1.72769480e-05 1.72769480e-05 1.00000000e-01 1.00000000e-01 2.78716310e-02 2.78716310e-02 -2.68571307e+00 -2.68571307e+00 2.40000000e-01 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 3.70318e-04 3.70318e-04 1.26195e-05 1.26195e-05 -8.69739253e+01 -6.01167963e+01 1.20233578e+00 -7.29063711e-06 1.93478984e-05 1.93478984e-05 1.00000000e-01 1.00000000e-01 2.89989322e-02 2.89989322e-02 -2.68571389e+00 -2.68571389e+00 2.90000000e-01 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 4.15928e-04 4.15928e-04 1.41550e-05 1.41550e-05 -8.69739241e+01 -6.01167903e+01 1.20233564e+00 -8.17324268e-06 2.16620302e-05 2.16620302e-05 1.00000000e-01 1.00000000e-01 3.01233345e-02 3.01233345e-02 -2.68571481e+00 -2.68571481e+00 3.40000000e-01 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 4.67218e-04 4.67218e-04 1.58769e-05 1.58769e-05 -8.69739222e+01 -6.01167836e+01 1.20233549e+00 -9.16180397e-06 2.42467369e-05 2.42467369e-05 1.00000000e-01 1.00000000e-01 3.12445486e-02 3.12445486e-02 -2.68571583e+00 -2.68571583e+00 3.90000000e-01 0  
0.00000e+00 0.00000e+00 -5.00000e-02 -5.00000e-02 5.24915e-04 5.24915e-04 1.78077e-05 1.78077e-05 -8.69739197e+01 -6.01167762e+01 1.20233532e+00 -1.02688271e-05 2.71320944e-05 2.71320944e-05 1.00000000e-01 1.00000000e-01 3.23622079e-02 3.23622079e-02 -2.68571697e+00 -2.68571697e+00 4.40000000e-01 0  
